copas,gofres,bebidas,crepes,diaSemana,observacion,helados_inicio,helados_fin
[],[],[],[],viernes,,"12:39:27,102","12:40:11,150"
[],[],"[{'inicio': '13:49:04,382', 'fin': '13:55:25,919'}]",[],domingo,,,
[],[],[],[],sábado,Artesano,"12:56:59,524","12:59:47,703"
[],[],[],[],sábado,,"12:50:53,881","12:51:12,866"
"[{'inicio': '14:02:49,767', 'fin': '14:04:13,401'}]",[],[],[],domingo,4 copas,,
"[{'inicio': '14:12:26,070', 'fin': '14:14:48,009'}]",[],[],[],domingo,2 copas,,
"[{'inicio': '13:57:31,438', 'fin': '14:00:13,487'}]",[],[],[],domingo,,,
"[{'inicio': '12:05:09,985', 'fin': '12:06:27,055'}]",[],[],[],domingo,,,
[],[],[],[],sábado,,"13:39:47,724","13:40:07,995"
[],[],[],[],domingo,,"13:20:14,106","13:20:16,787"
[],[],[],[],viernes,,"13:15:34,184","13:15:50,842"
[],[],[],[],domingo,,"13:20:42,757","13:20:45,600"
[],[],"[{'inicio': '14:21:33,391', 'fin': '14:24:42,070'}]",[],domingo,,"14:20:30,184","14:20:45,511"
[],[],[],[],viernes,,"13:50:49,809","13:51:37,987"
[],[],[],[],domingo,,"11:51:20,390","11:51:28,044"
[],[],[],[],domingo,,"14:57:47,576","14:58:17,685"
[],[],[],[],viernes,,"14:09:57,560","14:10:48,381"
[],[],[],[],domingo,,"14:20:59,503","14:21:19,345"
[],[],[],[],viernes,,"14:26:53,775","14:27:10,067"
[],"[{'inicio': '12:16:05,233', 'fin': '12:21:05,050'}]",[],[],sábado,,,
[],[],[],[],viernes,,"13:16:46,382","13:17:24,910"
[],[],[],[],domingo,,"13:49:14,347","13:49:37,069"
"[{'inicio': '14:27:35,834', 'fin': '14:29:13,007'}]",[],[],[],domingo,,,
[],[],[],[],viernes,,"12:52:21,374","12:54:17,117"
[],[],"[{'inicio': '14:44:37,031', 'fin': '14:47:21,598'}]",[],domingo,,,
[],[],[],[],domingo,,"14:56:35,554","14:56:48,869"
[],[],[],"[{'inicio': '12:29:22,776', 'fin': '12:35:28,291'}, {'inicio': '12:35:29,327', 'fin': '12:38:51,202'}]",domingo,,,
[],[],"[{'inicio': '13:22:31,938', 'fin': '13:24:35,698'}]",[],sábado,,,
[],[],[],[],domingo,,"13:00:21,647","13:01:07,437"
[],[],[],[],domingo,,"13:42:37,877","13:42:40,879"
[],[],"[{'inicio': '14:44:43,805', 'fin': '14:47:23,742'}]",[],domingo,,,
[],[],"[{'inicio': '13:34:40,166', 'fin': '13:35:29,514'}]",[],domingo,,,
[],[],"[{'inicio': '14:17:15,822', 'fin': '14:19:35,585'}, {'inicio': '14:19:36,958', 'fin': '14:20:01,092'}]",[],domingo,,,
[],[],[],[],domingo,,"12:43:41,755","12:44:06,924"
[],[],[],[],domingo,,"13:24:50,635","13:25:23,396"
