id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
BJQqwgpwEMJvsyZ2ynt6,sábado,12:11:24.164000,"12:11:30,487","12:12:15,860","12:12:16,817",Tarjeta,
AkbN09pxuoVLQoT9IiPY,sábado,13:28:01.686000,"13:29:50,549","13:29:56,920","13:30:47,943",Tarjeta,
ASPl0jMPrtwlsUVbmoRe,sábado,13:18:34.557000,"13:20:40,547","13:20:52,508","13:20:57,860",efectivo,
A9y1R1hpSf2wuJ8RnvnS,sábado,14:07:03.649000,"14:08:17,310","14:08:51,747","14:08:55,753",efectivo,
wq0nFaygSplOEJuq2hA3,sábado,14:27:35.026000,"14:28:33,361","14:28:38,709","14:28:53,578",efectivo,
x3Ir4fo7NvkOoQDa3BXb,sábado,13:40:03.667000,"13:40:21,421","13:40:42,698","13:41:00,363",efectivo,Cajera estaba en cocina
9qpu6Pxi2GeIFBZt0lhj,sábado,12:27:14.007000,"12:27:15,735","12:27:23,797","12:27:46,785",efectivo,
daSojTAdNUJG05IgmjRd,sábado,14:41:18.967000,"14:41:35,240","14:41:49,640","14:42:17,935",efectivo,
xOyjjzoH8QzK47RXlH46,sábado,14:45:29.472000,"14:46:25,423","14:46:30,860","14:47:42,098",efectivo,La cajera fue a buscar una bomba para el niño
xuIWldpyrD30fTQtNc61,sábado,13:42:00.857000,"13:42:09,416","13:42:26,210","13:42:34,932",Tarjeta,
ggcM7zeNPwRK1emfRJHw,sábado,12:13:10.043000,"12:13:29,007","12:13:31,529","12:13:38,648",efectivo,
gC2TBzIb7qSxpY3wjsTm,sábado,12:01:08.102000,"12:03:10,524","12:03:22,055","12:03:27,545",Tarjeta,
1qo668xGA89UB1LM9FF8,sábado,12:06:47.407000,"12:09:29,103","12:09:35,340","12:10:08,984",efectivo,Se demoró porque la cajera estaba apoyando en cocina 
8XG94MZh7Wn7OnE2H1iB,sábado,14:28:32.143000,"14:29:00,196","14:29:24,789","14:29:31,362",efectivo,
hD7AsYXtnPm1S8HrbfMt,sábado,13:27:45.228000,"13:28:54,042","13:29:17,750","13:29:30,957",Tarjeta,
yUKroARjMPOo9Ow2G2j2,sábado,15:00:12.138000,"15:06:25,315","15:06:39,017","15:06:50,692",efectivo,
DnOgM7hWvFMhcZDCKFoi,sábado,13:32:53.880000,"13:33:55,332","13:34:05,622","13:34:18,460",efectivo,La cajera se demoró por estar en cocina
sepSl2f1RTfseB1WGFec,sábado,12:56:43.428000,"12:56:47,510","12:57:25,871","12:57:35,290",efectivo,Ya estaban comiendo helado y vinieron por más helado D:
6PQM22NKP8xekpo2GebQ,sábado,14:02:06.738000,"14:03:32,180","14:03:45,183","14:04:04,902",Tarjeta,
heIrRnw2GJUs9WMdViz1,sábado,14:09:15.713000,"14:10:17,091","14:10:36,889","14:10:52,556",efectivo,
H0aiiQKC6uRXUS7sxewO,sábado,13:20:44.852000,"13:21:53,537","13:22:34,771","13:23:02,725",efectivo,
